Year,Month,Inflation
1954,January,1.30%
1954,February,1.20%
1954,March,1.20%
1954,April,0.40%
1954,May,1.00%
1954,June,0.10%
1954,July,-1.80%
1954,August,-5.10%
1954,September,-4.40%
1954,October,-1.70%
1954,November,0.70%
1954,December,0.80%
1955,January,0.10%
1955,February,-0.20%
1955,March,-0.30%
1955,April,1.00%
1955,May,-0.70%
1955,June,-2.20%
1955,July,-1.00%
1955,August,-0.20%
1955,September,-1.10%
1955,October,-1.00%
1955,November,-0.80%
1955,December,-0.30%
1956,January,0.00%
1956,February,-0.70%
1956,March,0.00%
1956,April,0.20%
1956,May,-0.60%
1956,June,-0.10%
1956,July,-1.00%
1956,August,-1.00%
1956,September,0.00%
1956,October,1.00%
1956,November,0.20%
1956,December,-1.20%
1957,January,-0.90%
1957,February,1.00%
1957,March,1.30%
1957,April,1.00%
1957,May,2.90%
1957,June,3.10%
1957,July,4.40%
1957,August,3.50%
1957,September,2.90%
1957,October,2.80%
1957,November,4.20%
1957,December,5.30%
1958,January,5.70%
1958,February,5.00%
1958,March,3.90%
1958,April,2.30%
1958,May,1.80%
1958,June,1.40%
1958,July,-0.40%
1958,August,2.00%
1958,September,2.20%
1958,October,2.00%
1958,November,0.50%
1958,December,-1.30%
1959,January,-1.20%
1959,February,-2.20%
1959,March,-0.40%
1959,April,1.10%
1959,May,0.20%
1959,June,1.60%
1959,July,2.30%
1959,August,0.30%
1959,September,-0.10%
1959,October,-0.80%
1959,November,0.60%
1959,December,1.40%
1960,January,0.40%
1960,February,1.70%
1960,March,1.10%
1960,April,-1.70%
1960,May,-2.80%
1960,June,-3.50%
1960,July,-4.20%
1960,August,-3.80%
1960,September,-1.70%
1960,October,-2.10%
1960,November,-1.30%
1960,December,-1.50%
1961,January,-1.20%
1961,February,-1.30%
1961,March,-2.20%
1961,April,-0.10%
1961,May,1.60%
1961,June,2.00%
1961,July,3.30%
1961,August,4.70%
1961,September,2.70%
1961,October,2.60%
1961,November,1.00%
1961,December,2.00%
1962,January,1.30%
1962,February,1.90%
1962,March,2.80%
1962,April,2.30%
1962,May,2.40%
1962,June,2.00%
1962,July,1.80%
1962,August,0.80%
1962,September,0.80%
1962,October,0.60%
1962,November,1.20%
1962,December,0.20%
1963,January,1.50%
1963,February,1.80%
1963,March,1.70%
1963,April,2.60%
1963,May,2.40%
1963,June,2.40%
1963,July,2.70%
1963,August,2.10%
1963,September,1.70%
1963,October,2.50%
1963,November,2.40%
1963,December,3.70%
1964,January,3.80%
1964,February,3.40%
1964,March,3.10%
1964,April,2.70%
1964,May,3.30%
1964,June,3.30%
1964,July,2.80%
1964,August,3.30%
1964,September,3.80%
1964,October,3.30%
1964,November,3.10%
1964,December,1.90%
1965,January,1.20%
1965,February,0.70%
1965,March,1.20%
1965,April,0.20%
1965,May,0.00%
1965,June,-0.30%
1965,July,0.50%
1965,August,0.40%
1965,September,-0.10%
1965,October,-0.60%
1965,November,-0.60%
1965,December,0.10%
1966,January,0.40%
1966,February,0.50%
1966,March,-0.20%
1966,April,0.20%
1966,May,-0.40%
1966,June,-0.40%
1966,July,-1.20%
1966,August,-0.50%
1966,September,-0.10%
1966,October,0.20%
1966,November,-0.20%
1966,December,0.00%
1967,January,0.40%
1967,February,0.40%
1967,March,0.30%
1967,April,0.60%
1967,May,1.40%
1967,June,2.30%
1967,July,2.20%
1967,August,3.00%
1967,September,3.10%
1967,October,2.80%
1967,November,3.60%
1967,December,6.00%
1968,January,5.10%
1968,February,4.80%
1968,March,5.30%
1968,April,5.00%
1968,May,4.70%
1968,June,5.00%
1968,July,6.50%
1968,August,6.20%
1968,September,6.50%
1968,October,6.70%
1968,November,7.70%
1968,December,6.80%
1969,January,7.20%
1969,February,7.30%
1969,March,7.60%
1969,April,8.90%
1969,May,8.80%
1969,June,8.40%
1969,July,6.50%
1969,August,6.70%
1969,September,6.80%
1969,October,8.20%
1969,November,7.50%
1969,December,5.70%
1970,January,7.50%
1970,February,7.60%
1970,March,7.50%
1970,April,6.80%
1970,May,6.90%
1970,June,6.30%
1970,July,6.10%
1970,August,5.40%
1970,September,5.60%
1970,October,4.10%
1970,November,3.50%
1970,December,3.50%
1971,January,1.50%
1971,February,0.90%
1971,March,1.40%
1971,April,1.20%
1971,May,1.20%
1971,June,1.80%
1971,July,2.60%
1971,August,2.60%
1971,September,2.70%
1971,October,4.10%
1971,November,6.00%
1971,December,6.00%
1972,January,6.30%
1972,February,6.90%
1972,March,6.20%
1972,April,6.60%
1972,May,7.10%
1972,June,7.40%
1972,July,7.80%
1972,August,7.80%
1972,September,7.00%
1972,October,5.60%
1972,November,3.70%
1972,December,4.00%
1973,January,5.90%
1973,February,6.70%
1973,March,7.00%
1973,April,6.80%
1973,May,6.70%
1973,June,8.60%
1973,July,9.00%
1973,August,10.80%
1973,September,11.10%
1973,October,14.00%
1973,November,14.10%
1973,December,14.40%
1974,January,12.60%
1974,February,13.10%
1974,March,13.40%
1974,April,14.20%
1974,May,14.10%
1974,June,11.50%
1974,July,11.50%
1974,August,12.80%
1974,September,13.00%
1974,October,10.60%
1974,November,10.60%
1974,December,10.70%
1975,January,10.50%
1975,February,10.00%
1975,March,10.00%
1975,April,8.70%
1975,May,8.40%
1975,June,8.10%
1975,July,7.70%
1975,August,4.80%
1975,September,4.20%
1975,October,3.90%
1975,November,3.10%
1975,December,2.70%
1976,January,2.30%
1976,February,1.70%
1976,March,1.30%
1976,April,1.30%
1976,May,1.50%
1976,June,1.60%
1976,July,0.80%
1976,August,0.70%
1976,September,0.70%
1976,October,0.80%
1976,November,0.90%
1976,December,1.00%
1977,January,1.10%
1977,February,1.40%
1977,March,1.50%
1977,April,1.20%
1977,May,1.40%
1977,June,1.10%
1977,July,1.90%
1977,August,1.30%
1977,September,0.50%
1977,October,0.40%
1977,November,1.30%
1977,December,1.50%
1978,January,1.30%
1978,February,9.30%
1978,March,9.30%
1978,April,9.70%
1978,May,10.50%
1978,June,11.30%
1978,July,12.00%
1978,August,14.10%
1978,September,17.10%
1978,October,16.90%
1978,November,16.90%
1978,December,17.00%
1979,January,17.20%
1979,February,8.60%
1979,March,8.80%
1979,April,8.70%
1979,May,7.80%
1979,June,7.60%
1979,July,7.20%
1979,August,6.00%
1979,September,13.20%
1979,October,14.30%
1979,November,14.70%
1979,December,14.70%
1980,January,16.00%
1980,February,21.60%
1980,March,28.40%
1980,April,28.70%
1980,May,29.90%
1980,June,31.20%
1980,July,32.10%
1980,August,32.50%
1980,September,22.70%
1980,October,22.60%
1980,November,24.10%
1980,December,24.70%
1981,January,24.20%
1981,February,21.20%
1981,March,16.90%
1981,April,17.60%
1981,May,17.50%
1981,June,17.00%
1981,July,16.20%
1981,August,16.00%
1981,September,16.80%
1981,October,17.80%
1981,November,17.30%
1981,December,18.30%
1982,January,17.50%
1982,February,14.90%
1982,March,12.60%
1982,April,12.70%
1982,May,11.90%
1982,June,11.00%
1982,July,11.00%
1982,August,11.00%
1982,September,9.30%
1982,October,7.90%
1982,November,6.40%
1982,December,5.40%
1983,January,5.90%
1983,February,6.50%
1983,March,10.40%
1983,April,11.50%
1983,May,12.60%
1983,June,13.50%
1983,July,14.10%
1983,August,15.20%
1983,September,16.40%
1983,October,18.70%
1983,November,20.40%
1983,December,21.40%
1984,January,21.70%
1984,February,23.00%
1984,March,20.50%
1984,April,19.30%
1984,May,18.70%
1984,June,18.20%
1984,July,17.60%
1984,August,16.40%
1984,September,14.70%
1984,October,12.30%
1984,November,10.50%
1984,December,9.50%
1985,January,7.70%
1985,February,4.90%
1985,March,2.90%
1985,April,2.00%
1985,May,2.00%
1985,June,1.50%
1985,July,0.80%
1985,August,-1.20%
1985,September,-2.30%
1985,October,-2.10%
1985,November,0.70%
1985,December,1.50%
1986,January,4.00%
1986,February,5.70%
1986,March,6.70%
1986,April,6.80%
1986,May,6.30%
1986,June,7.10%
1986,July,7.20%
1986,August,9.80%
1986,September,11.60%
1986,October,11.60%
1986,November,10.00%
1986,December,9.10%
1987,January,7.70%
1987,February,6.80%
1987,March,6.20%
1987,April,6.80%
1987,May,7.60%
1987,June,7.00%
1987,July,7.80%
1987,August,7.80%
1987,September,7.30%
1987,October,8.50%
1987,November,8.70%
1987,December,10.20%
1988,January,13.10%
1988,February,13.50%
1988,March,13.00%
1988,April,13.10%
1988,May,13.20%
1988,June,14.10%
1988,July,14.10%
1988,August,13.90%
1988,September,15.30%
1988,October,14.20%
1988,November,15.00%
1988,December,15.00%
1989,January,10.10%
1989,February,8.80%
1989,March,10.30%
