,20150724,20150727,20150728,20150729,20150730,20150731
09:25:00,,,,,,
09:30:00,0.0,0.0,0.0,0.0,0.0,0.0
09:31:00,0.0,,0.0,0.0,0.0,0.0
09:32:00,,0.0,0.0,0.0,0.0,0.0
09:33:00,,0.0,0.0,0.0,0.0,0.0
09:34:00,,,0.0,0.0,0.0,0.0
09:35:00,0.0,0.0,0.0,0.0,0.0,0.0
09:36:00,,0.0,0.0,0.0,0.0,0.0
09:37:00,0.0,,0.0,0.0,0.0,0.0
09:38:00,0.0,,0.0,0.0,0.0,0.0
09:39:00,0.0,0.0,0.0,0.0,0.0,0.0
09:40:00,0.0,,,0.0,,0.0
09:41:00,0.0,,0.0,0.0,0.0,0.0
09:42:00,0.0,,,,,0.0
09:43:00,,,,0.0,0.0,0.0
09:44:00,,0.0,0.0,,0.0,0.0
09:45:00,0.0,0.0,0.0,,,0.0
09:46:00,0.0,,0.0,0.0,,0.0
09:47:00,,,0.0,0.0,0.0,0.0
09:48:00,0.0,,,,,0.0
09:49:00,0.0,0.0,0.0,,,0.0
09:50:00,,0.0,0.0,,0.0,0.0
09:51:00,,,0.0,0.0,0.0,0.0
09:52:00,,0.0,,,,0.0
09:53:00,,,,,0.0,0.0
09:54:00,0.0,,,,,0.0
09:55:00,,,,,,0.0
09:56:00,0.0,,,,,0.0
09:57:00,,,0.0,,,0.0
09:58:00,,0.0,0.0,,,0.0
09:59:00,,,,,,0.0
10:00:00,,,0.0,,,0.0
10:01:00,,,0.0,,0.0,0.0
10:02:00,,0.0,,,,0.0
10:03:00,0.0,0.0,0.0,,0.0,0.0
10:04:00,,,,,,0.0
10:05:00,,,0.0,,0.0,
10:06:00,,,0.0,,,0.0
10:07:00,,,,,0.0,0.0
10:08:00,,,,,,0.0
10:09:00,,0.0,0.0,,,0.0
10:10:00,0.0,,,,,0.0
10:11:00,0.0,,0.0,,0.0,0.0
10:12:00,,,0.0,,,0.0
10:13:00,,,0.0,,0.0,0.0
10:14:00,,,0.0,,0.0,0.0
10:15:00,,,,,0.0,0.0
10:16:00,,,0.0,,0.0,
10:18:00,,,0.0,,,0.0
10:19:00,,,0.0,,,
10:20:00,,,0.0,,,
10:21:00,,,,0.0,,
10:22:00,,,,,0.0,
10:23:00,,,,,0.0,
10:24:00,,,0.0,,,
10:25:00,0.0,,,,,0.0
10:26:00,,,0.0,,,
10:27:00,,,,,,0.0
10:28:00,,,,0.0,,
10:29:00,0.0,0.0,,0.0,,0.0
10:30:00,0.0,,,0.0,,
10:31:00,,,,0.0,,0.0
10:34:00,,,0.0,,,
10:35:00,,,,,,0.0
10:36:00,,,0.0,,,
10:37:00,0.0,,0.0,0.0,,0.0
10:39:00,,,0.0,0.0,,0.0
10:40:00,0.0,,0.0,,,
10:42:00,,,0.0,,0.0,0.0
10:43:00,,0.0,,0.0,,
10:44:00,0.0,0.0,,,,0.0
10:48:00,,,,,,0.0
10:49:00,,,0.0,0.0,,
10:50:00,,0.0,,0.0,,0.0
10:51:00,,0.0,,,,
10:53:00,,,,0.0,,
10:55:00,,,,0.0,,
10:56:00,,,0.0,0.0,,
10:57:00,0.0,,,,,
10:59:00,,,0.0,,0.0,
11:00:00,0.0,,,,,
11:01:00,,,,0.0,,0.0
11:04:00,,,,0.0,,0.0
11:06:00,,0.0,,0.0,0.0,
11:10:00,0.0,0.0,,,,0.0
11:11:00,0.0,,0.0,0.0,,
11:12:00,,,,0.0,,
11:13:00,,,,0.0,,
11:14:00,,,,0.0,,0.0
11:16:00,,,0.0,0.0,,0.0
11:17:00,,,,0.0,,
11:18:00,,,0.0,,0.0,0.0
11:19:00,,,,,,0.0
11:20:00,,,,0.0,,
11:21:00,,,0.0,,0.0,
11:22:00,,,,,0.0,
11:25:00,,0.0,,0.0,,
11:26:00,,0.0,,,,
11:28:00,,0.0,0.0,,0.0,
11:29:00,,,,,0.0,
13:00:00,0.0,0.0,0.0,,0.0,0.0
13:01:00,,,,0.0,,
13:02:00,,,,,,0.0
13:04:00,0.0,,,,,
13:05:00,,,,,,0.0
13:06:00,,,,0.0,,
13:07:00,,,,,0.0,
13:08:00,,,0.0,,0.0,
13:11:00,,,,,,0.0
13:12:00,,,,0.0,,
13:13:00,,,,,,0.0
13:15:00,,,0.0,,,
13:18:00,,,,0.0,,
13:20:00,,,,,0.0,
13:21:00,,,,0.0,,
13:22:00,,0.0,,,,
13:24:00,,,,0.0,0.0,
13:25:00,,0.0,,,0.0,
13:26:00,,0.0,,,,0.0
13:27:00,,0.0,,,,
13:28:00,,0.0,,,,
13:30:00,0.0,0.0,,0.0,,
13:31:00,0.0,,,0.0,,0.0
13:32:00,0.0,,,,,
13:33:00,,,,0.0,,
13:35:00,0.0,,,0.0,,
13:36:00,,,,0.0,,
13:37:00,,,,,,0.0
13:38:00,,,,,0.0,
13:39:00,,,,0.0,,
13:40:00,,,,,0.0,
13:41:00,,,,,0.0,0.0
13:42:00,,0.0,,,0.0,
13:43:00,,,,,0.0,
13:44:00,0.0,,,0.0,0.0,
13:46:00,,,,,0.0,
13:47:00,,,0.0,,,
13:49:00,0.0,,,,,
13:50:00,,,,0.0,0.0,
13:51:00,,,,0.0,,
13:52:00,,,,,,0.0
13:53:00,,,0.0,0.0,0.0,
13:54:00,0.0,,,0.0,,
13:55:00,,0.0,,,,
13:56:00,,,,0.0,0.0,
13:57:00,,,,,,0.0
13:58:00,,,,0.0,,
13:59:00,,,,0.0,0.0,
14:00:00,,0.0,,,0.0,
14:02:00,,0.0,,0.0,,
14:03:00,,0.0,,,,0.0
14:04:00,,,0.0,,,
14:05:00,0.0,0.0,,,,
14:06:00,,0.0,,,0.0,
14:07:00,,0.0,,,,
14:08:00,0.0,,,,,
14:09:00,0.0,0.0,,0.0,,
14:10:00,,0.0,,0.0,0.0,
14:11:00,,0.0,,,,
14:12:00,,0.0,0.0,,,
14:13:00,,0.0,,,,
14:14:00,,0.0,,0.0,,
14:17:00,,,,,,0.0
14:18:00,,0.0,,,,
14:19:00,,0.0,0.0,,,
14:20:00,,,,0.0,,0.0
14:21:00,,,0.0,,,
14:24:00,,,,,,0.0
14:25:00,,0.0,,,,
14:26:00,,,,0.0,,
14:29:00,0.0,,,,,0.0
14:30:00,0.0,,0.0,,,0.0
14:31:00,,,,,0.0,
14:32:00,,0.0,0.0,0.0,0.0,0.0
14:34:00,,0.0,0.0,,,
14:35:00,,0.0,,,,0.0
14:36:00,,,,,,0.0
14:37:00,,0.0,,0.0,,0.0
14:38:00,,0.0,,,,
14:39:00,,0.0,,,0.0,0.0
14:40:00,,0.0,,,,0.0
14:41:00,,,,0.0,,0.0
14:42:00,,0.0,,,,
14:43:00,,,0.0,,0.0,
14:44:00,,0.0,,,,
14:45:00,,0.0,,,,
14:46:00,,,,0.0,0.0,0.0
14:47:00,,0.0,0.0,,,
14:48:00,,,0.0,,,0.0
14:49:00,,,,0.0,,0.0
14:50:00,0.0,0.0,,0.0,0.0,0.0
14:51:00,,0.0,,,,
14:52:00,,0.0,,,0.0,
14:53:00,,,,,0.0,0.0
14:54:00,,,0.0,,0.0,0.0
14:55:00,,0.0,,,0.0,0.0
14:56:00,,0.0,,0.0,0.0,0.0
15:00:00,,0.0,0.0,,0.0,0.0
