,20150701,20150702,20150703,20150706,20150707
09:25:00,,,,,
09:30:00,0.0,-0.0289113434944,0.0,0.101096116871,0.0
09:31:00,0.0,-0.0349365698809,0.0,0.0366285991302,0.0
09:32:00,0.0,-0.00415081882715,0.0,0.0194608675209,0.0
09:33:00,0.0,0.0,0.0,0.0,0.0
09:34:00,,0.0,0.0,-0.0472822107937,0.0
09:35:00,0.0,0.0,0.0,-0.0278332617251,0.0
09:36:00,,0.0,0.0,0.0171010774582,0.0
09:37:00,0.0,0.0,,-0.00540959588138,0.0
09:38:00,0.0,0.0,0.0,-0.00155098906625,
09:39:00,0.0,0.0,,-0.0105325724999,0.0
09:40:00,0.0,0.0,,-0.0391893410964,0.0
09:41:00,0.0,0.0,0.0,-0.0210187008348,0.0
09:42:00,0.0,0.0,,-0.0134173920625,0.0
09:43:00,0.0,0.0,0.0,0.00463256250673,0.0
09:44:00,0.0,0.0,0.0,0.00377438066029,0.0
09:45:00,0.0,0.0,0.0,-0.000418672813317,0.0
09:46:00,,0.0,0.0,-0.00251572459725,
09:47:00,0.0,0.0,,-0.00505051578607,0.0
09:48:00,0.0,0.0,,0.0,0.0
09:49:00,0.0,0.0,0.0,0.0,
09:50:00,,0.0,0.0,-0.00422833610952,0.0
09:51:00,,0.0,,0.0,
09:52:00,0.0,0.0,,-0.00637621713928,
09:53:00,,0.0,,0.0118695755554,
09:54:00,0.0,0.0,0.0,-0.00931420789569,0.0
09:55:00,,0.0,0.0,-0.00127686759208,0.0
09:56:00,,0.0,0.0,-0.00127850006761,
09:57:00,0.0,0.0,,0.00127850006761,0.0
09:58:00,0.0,0.0,,-0.00341297259624,
09:59:00,0.0,0.0,0.0,-0.000427441767568,
10:00:00,0.0,0.0,,-0.000855432045321,0.0
10:01:00,0.0,0.0,,0.0,0.0
10:02:00,0.0,0.0,0.0,0.0,
10:03:00,,0.0,0.0,0.0,
10:04:00,,0.0,0.0,0.0,0.0
10:05:00,0.0,0.0,,0.0,
10:06:00,0.0,0.0,,0.0,0.0
10:07:00,0.0,0.0,,0.0,0.0
10:08:00,,0.0,,0.0,
10:09:00,,0.0,0.0,0.0,0.0
10:10:00,,0.0,0.0,0.0,0.0
10:11:00,,0.0,,0.0,0.0
10:12:00,0.0,0.0,0.0,0.0,
10:13:00,0.0,0.0,,0.0,
10:14:00,0.0,0.0,,0.0,0.0
10:15:00,0.0,0.0,,0.0,
10:16:00,0.0,0.0,,0.0,0.0
10:17:00,,0.0,,0.0,
10:18:00,0.0,0.0,,,
10:19:00,,0.0,,0.0,
10:20:00,,0.0,,,0.0
10:21:00,,0.0,,0.0,
10:22:00,,0.0,,0.0,
10:23:00,,0.0,,0.0,0.0
10:24:00,,0.0,0.0,0.0,
10:25:00,,,,0.0,
10:26:00,,0.0,,0.0,
10:27:00,,0.0,0.0,0.0,
10:28:00,,0.0,,0.0,
10:29:00,,0.0,,0.0,
10:30:00,,0.0,0.0,0.0,
10:31:00,,0.0,0.0,,
10:32:00,,0.0,,0.0,
10:33:00,,0.0,,0.0,
10:34:00,,0.0,,0.0,0.0
10:35:00,,0.0,0.0,0.0,0.0
10:36:00,0.0,0.0,,0.0,0.0
10:37:00,0.0,0.0,0.0,0.0,
10:38:00,0.0,0.0,0.0,0.0,
10:39:00,0.0,0.0,,0.0,
10:40:00,,0.0,,0.0,
10:41:00,0.0,0.0,,0.0,
10:42:00,,0.0,,0.0,
10:43:00,0.0,0.0,,0.0,
10:44:00,0.0,0.0,0.0,,
10:45:00,,0.0,,,
10:46:00,,0.0,,0.0,
10:47:00,,0.0,,0.0,
10:48:00,,0.0,0.0,,
10:49:00,,0.0,,0.0,
10:50:00,,0.0,,,
10:51:00,,0.0,,0.0,
10:52:00,,0.0,,0.0,
10:53:00,,0.0,,,
10:54:00,,0.0,,0.0,
10:55:00,0.0,0.0,,0.0,
10:56:00,,0.0,,0.0,
10:57:00,,0.0,0.0,0.0,
10:58:00,,0.0,,0.0,
10:59:00,0.0,0.0,,,
11:00:00,,0.0,,,
11:01:00,,0.0,,0.0,
11:02:00,,0.0,,0.0,
11:03:00,,,,0.0,
11:04:00,,0.0,,,
11:05:00,,0.0,0.0,0.0,0.0
11:06:00,0.0,0.0,,0.0,
11:07:00,,0.0,0.0,,
11:08:00,,0.0,,0.0,
11:09:00,,0.0,,0.0,0.0
11:10:00,,0.0,,0.0,0.0
11:11:00,,0.0,,0.0,
11:12:00,,0.0,,0.0,
11:13:00,,0.0,,0.0,
11:14:00,0.0,0.0,0.0,0.0,
11:15:00,0.0,0.0,,0.0,
11:16:00,,0.0,,0.0,0.0
11:17:00,,0.0,,,
11:18:00,,0.0,0.0,,
11:19:00,,0.0,,,
11:20:00,0.0,0.0,,,
11:21:00,,0.0,0.0,,
11:22:00,,0.0,0.0,0.0,
11:23:00,0.0,0.0,0.0,0.0,
11:24:00,,0.0,,0.0,
11:25:00,,0.0,0.0,,
11:26:00,,0.0,,0.0,
11:27:00,,0.0,,0.0,
11:28:00,0.0,0.0,0.0,0.0,
11:29:00,,0.0,0.0,,
11:30:00,,,0.0,,
13:00:00,0.0,0.0,0.0,0.0,
13:01:00,0.0,0.0,0.0,,
13:02:00,0.0,0.0,0.0,,
13:03:00,,0.0,0.0,,
13:04:00,0.0,0.0,0.0,,
13:05:00,,0.0,0.0,,
13:06:00,,0.0,0.0,0.0,
13:07:00,0.0,0.0,0.0,0.0,
13:08:00,0.0,0.0,,0.0,
13:09:00,,0.0,,,
13:10:00,0.0,,0.0,,
13:11:00,,0.0,0.0,,
13:12:00,,,0.0,,
13:13:00,,0.0,0.0,,
13:14:00,,0.0,0.0,,
13:15:00,,0.0,,,
13:16:00,,0.0,0.0,,
13:17:00,,0.0,0.0,,
13:18:00,,,0.0,,
13:19:00,,,0.0,,
13:20:00,,,0.0,,
13:21:00,,,0.0,,
13:22:00,,0.0,0.0,,
13:23:00,,0.0,0.0,,
13:24:00,,,0.0,,
13:25:00,,,0.0,0.0,
13:26:00,,,,0.0,
13:27:00,,0.0,,,
13:28:00,,0.0,,,
13:29:00,,0.0,0.0,,
13:30:00,,0.0,0.0,,
13:31:00,,0.0,0.0,,
13:32:00,,,0.0,0.0,
13:33:00,,0.0,0.0,,
13:34:00,,0.0,0.0,0.0,
13:35:00,,0.0,0.0,,
13:36:00,,,0.0,,
13:37:00,,0.0,0.0,,
13:39:00,,0.0,0.0,,
13:40:00,,0.0,,,
13:41:00,,,0.0,,
13:45:00,,0.0,0.0,,
13:46:00,0.0,,,0.0,
13:48:00,,,,0.0,
13:49:00,0.0,,0.0,,
13:53:00,0.0,,0.0,,
13:54:00,,,,0.0,
13:55:00,,0.0,,,
13:56:00,,,0.0,,
13:57:00,,0.0,,,
13:58:00,,0.0,,0.0,
