Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
LB FINANCE PLC,LFIN.N0000,72,255,535254,38441260,1.9,2.71
LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,244.5,35,412,100744.25,19.5,8.67
LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,16.7,42,116153,1946875.7,-0.2,-1.18
LANKA ASHOK LEYLAND PLC,ASHO.N0000,733.25,,,,0,0
LANKA CERAMIC PLC,CERA.N0000,105.25,,,,0,0
LANKA CREDIT AND BUSINESS FINANCE PLC,LCBF.N0000,2.5,31,111711,279753.6,0.1,4.17
LANKA IOC PLC,LIOC.N0000,119.25,474,619248,73286461.5,0.75,0.63
LANKA MILK FOODS (CWE) PLC,LMF.N0000,163.5,33,15480,2553730,-3.25,-1.95
LANKA REALTY INVESTMENTS PLC,ASCO.N0000,13.6,20,47723,667848.5,-0.3,-2.16
LANKA TILES PLC,TILE.N0000,45,125,56281,2495781.7,0,0
LANKA VENTURES PLC,LVEN.N0000,39.2,4,2550,99960,0,0
LANKA WALLTILE PLC,LWL.N0000,45.8,205,137174,6241853.7,-0.6,-1.29
LANKEM CEYLON PLC,LCEY.N0000,75,51,57933,4332500,3,4.17
LANKEM DEVELOPMENTS PLC,LDEV.N0000,25.4,126,217121,5513103.5,-0.8,-3.05
LAUGFS GAS PLC,LGL.X0000,22.8,13,2300,52630,-0.8,-3.39
LAUGFS GAS PLC,LGL.N0000,36.6,48,72665,2618221.8,0.9,2.52
LAUGFS POWER PLC,LPL.N0000,8.4,6,401,3368.6,-0.1,-1.18
LAUGFS POWER PLC,LPL.X0000,7.3,6,2200,15941,0.2,2.82
LAXAPANA BATTERIES PLC,LITE.N0000,14.2,8,2500,35660,-0.1,-0.7
LEE HEDGES PLC,SHAW.N0000,82,7,13254,1086861,0,0
LION BREWERY (CEYLON) PLC,LION.N0000,715,6,500,357483,10,1.42
LOLC FINANCE PLC,LOFC.N0000,5.6,523,5139370,28558831,-0.1,-1.75
LOLC GENERAL INSURANCE PLC,LGIL.N0000,6.5,38,152761,1017486.4,-0.1,-1.52
L O L C HOLDINGS PLC,LOLC.N0000,459.25,249,92270,42565467,-12,-2.55
LOTUS HYDRO POWER PLC,HPFL.N0000,9.5,212,286173,2659593.1,0,0
LUMINEX PLC,LUMX.N0000,7,14,46150,323050,0,0
L V L ENERGY FUND PLC,LVEF.N0000,6.5,23,9567,62812.9,0,0
ABANS ELECTRICALS PLC,ABAN.N0000,154.25,3,41,6319.25,2.5,1.65
ABANS FINANCE PLC,AFSL.N0000,25.8,9,1092,28003.6,1.8,7.5
ACCESS ENGINEERING PLC,AEL.N0000,17,140,410700,7211904.3,-0.3,-1.73
ACL CABLES PLC,ACL.N0000,73,379,365674,27077199.5,-1.8,-2.41
ACL PLASTICS PLC,APLA.N0000,389.75,52,2967,1111562.5,3,0.78
ACME PRINTING & PACKAGING PLC,ACME.N0000,6.5,8,20501,133296.5,-0.2,-2.99
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,33.5,59,33929,1137016.5,-0.8,-2.33
AGSTAR PLC,AGST.X0000,6.2,,,,0,0
AGSTAR PLC,AGST.N0000,10.1,290,1017043,10183889.4,0,0
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,75,125,322775,23456096,6.5,9.49
AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,56.8,,,,0,0
AITKEN SPENCE PLC,SPEN.N0000,141.25,53,38982,5470135.75,1.5,1.07
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,93.7,328,142852,13236907.2,3.5,3.88
ALPHA FIRE SERVICES PLC,AFS.N0000,47,4,707,33229,5,11.9
ALUMEX PLC,ALUM.N0000,9.3,70,145292,1327324.3,0.3,3.33
AMANA BANK PLC,ABL.N0000,2.5,57,932477,2244155,0.1,4.17
AMANA TAKAFUL PLC,ATL.N0000,12,14,19929,233940.4,0.3,2.56
AMANA TAKAFUL LIFE PLC,ATLL.N0000,29.7,,,,0,0
AMBEON CAPITAL PLC,TAP.N0000,9.4,60,406716,3822979.2,-0.1,-1.05
AMBEON HOLDINGS PLC,GREG.N0000,36,7,1760,63390,0.2,0.56
AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,22.4,,,,0,0
ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,0,,,,0,0
ARPICO INSURANCE PLC,AINS.N0000,24,13,80605,1934972,0.5,2.13
ASIA ASSET FINANCE PLC,AAF.P0000,11.7,,,,0,0
ASIA ASSET FINANCE PLC,AAF.N0000,13,9,56499,733024.7,0,0
ASIA CAPITAL PLC,ACAP.N0000,4,10,15096,60384.6,-0.1,-2.44
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,4.2,66,222022,916280.8,0,0
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,55,71,90485,5125989.7,0.1,0.18
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,13.4,2,82,1066.4,0.1,0.75
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,26.6,9,12714,334941.2,-0.1,-0.37
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,10.7,53,174203,1844821.8,0.2,1.9
